order_id,customer_id,product_id,quantity,order_date,name,email,age,city,created_at,product_name,category,price,stock,total_amount
11334,7997,31,10,2025-11-22,charles wade,charles.8781@outlook.com,79,London,2026-05-31,deluxe hair dryer,Beauty,61.43,1317,614.3
18441,9355,781,6,2022-04-07,kimberly ray,kimberly.1537@outlook.com,27,Alexandria,2025-06-13,wireless pen set,Office Supplies,856.28,3267,5137.68
30531,6685,84,6,2024-11-23,bradley baker,bradley.9881@yahoo.com,20,Toronto,2026-06-07,eco-friendly coffee maker,Home & Kitchen,655.9,4944,3935.3999999999996
82609,2933,435,1,2025-12-10,beth perez,beth.6575@gmail.com,35,Houston,2024-07-16,portable pet bed,Pet Supplies,759.7,1925,759.7
89060,6994,97,10,2026-02-01,gwendolyn wang,gwendolyn.6854@outlook.com,77,Vancouver,2025-12-10,compact coffee table,Furniture,281.42,2629,2814.2000000000003
7898,7631,105,4,2023-01-04,jason rose,jason.7594@hotmail.com,76,Melbourne,2024-10-24,pro rice bag,Grocery,806.11,1766,3224.44
92898,4684,955,3,2023-04-12,julie curry,julie.8309@yahoo.com,76,Sao Paulo,2025-10-14,premium honey jar,Grocery,324.0,2246,972.0
81298,3219,541,3,2025-07-29,christine aguilar,christine.7653@outlook.com,45,Lyon,2022-09-27,compact board game,Toys,860.21,3844,2580.63
82623,5784,604,7,2025-01-30,cheryl walters,cheryl.4280@hotmail.com,69,Mumbai,2023-02-14,premium pen set,Office Supplies,45.44,2554,318.08
52866,3549,559,7,2025-12-24,richard bass,richard.3680@example.com,50,Barcelona,2025-09-14,premium stapler,Office Supplies,929.32,1894,6505.240000000001
20440,8433,290,3,2024-06-05,john oneal,john.1091@hotmail.com,52,Melbourne,2023-05-25,rechargeable novel,Books,138.09,454,414.27
37935,4295,497,3,2023-11-13,edward thomas,edward.8041@yahoo.com,68,Berlin,2023-07-30,basic router,Electronics,153.86,4259,461.58000000000004
26204,5689,72,1,2026-08-18,christopher walker,christopher.7947@outlook.com,54,Manchester,2023-01-15,smart smartwatch,Electronics,970.22,3636,970.22
44614,7915,252,8,2025-12-16,michael jackson,michael.8163@hotmail.com,46,Delhi,2026-01-17,premium first aid kit,Health,785.09,3027,6280.72
67123,5809,501,6,2022-10-21,shaun wood,shaun.3974@hotmail.com,34,Sydney,2023-11-29,wireless nail polish,Beauty,819.45,2872,4916.700000000001
79319,9790,613,10,2026-07-31,thomas nunez,thomas.4839@outlook.com,68,New York,2026-05-15,heavy duty guitar strings,Music,41.75,1809,417.5
8650,3506,93,9,2023-06-03,jesse smith,jesse.5587@example.com,45,Tokyo,2024-02-18,heavy duty kettle,Home & Kitchen,322.41,3508,2901.69
98610,1728,960,5,2025-10-28,norman chavez,norman.9903@outlook.com,57,Chicago,2026-08-23,pro plant pot,Garden,611.97,4819,3059.8500000000004
21964,811,522,4,2025-11-01,robert hines,robert.1482@yahoo.com,69,Mumbai,2023-06-11,basic bed frame,Furniture,530.36,2867,2121.44
68288,7328,258,3,2024-01-30,adam dunn,adam.3415@hotmail.com,56,Birmingham,2024-06-07,wireless first aid kit,Health,994.9,3976,2984.7
8837,3801,204,1,2024-01-31,charlene wright,charlene.7479@example.com,54,Delhi,2026-07-08,premium pen set,Office Supplies,308.56,4758,308.56
70332,3060,533,9,2023-04-20,david barnett,david.5527@outlook.com,68,Riyadh,2026-03-28,lightweight vinyl record,Music,564.31,4252,5078.789999999999
91638,6598,256,1,2023-02-03,david reed,david.7175@example.com,57,Berlin,2024-01-03,smart coffee maker,Home & Kitchen,505.04,2704,505.04
86831,95,625,2,2024-02-07,eric ortiz,eric.5440@gmail.com,73,Tokyo,2024-04-26,deluxe dash cam,Automotive,225.6,145,451.2
44417,4177,569,9,2022-02-09,kayla thomas,kayla.6251@hotmail.com,25,Riyadh,2024-08-09,lightweight first aid kit,Health,203.28,4510,1829.52
35857,1725,516,6,2025-09-03,daisy schroeder,daisy.7975@outlook.com,80,Los Angeles,2025-08-13,eco-friendly kettle,Home & Kitchen,29.83,3917,178.98
83375,1783,423,6,2024-12-03,grace green,grace.3553@example.com,58,New York,2025-09-20,deluxe headphones,Electronics,743.25,1457,4459.5
79474,3347,103,7,2024-07-08,unknown,joshua.671@yahoo.com,36,Melbourne,2025-11-05,lightweight face mask,Health,163.64,4188,1145.48
69356,4827,633,8,2023-01-08,lori hartman,lori.9462@outlook.com,66,Manchester,2026-08-10,lightweight water bottle,Sports & Outdoors,746.49,4787,5971.92
40626,2998,283,10,2026-01-25,laura gutierrez,laura.2956@hotmail.com,19,Birmingham,2026-02-06,eco-friendly air freshener,Automotive,275.25,3952,2752.5
53522,5290,613,6,2023-06-17,derek mckinney,derek.9385@example.com,78,Riyadh,2026-08-02,heavy duty guitar strings,Music,41.75,1809,250.5
88894,2205,877,6,2023-10-11,amanda diaz,amanda.7209@gmail.com,30,Los Angeles,2023-01-10,premium air freshener,Automotive,806.64,1116,4839.84
71999,350,824,4,2026-09-15,charles patterson,charles.4679@outlook.com,30,New York,2025-03-03,pro dash cam,Automotive,746.01,441,2984.04
49341,1107,454,10,2099-07-13,beth hall,beth.2382@gmail.com,60,Alexandria,2026-08-21,basic seat cover,Automotive,596.8,3778,5968.0
58439,2154,471,5,2023-11-22,rodney nichols,rodney.8296@gmail.com,40,Munich,2022-09-19,lightweight drum sticks,Music,802.5,2596,4012.5
62694,5857,158,1,2025-06-18,robert chapman,robert.5794@gmail.com,59,Madrid,2022-12-22,pro tent,Sports & Outdoors,256.85,114,256.85
90625,9440,278,9,2023-09-25,edwin hansen,edwin.6830@gmail.com,71,Munich,2026-06-09,portable first aid kit,Health,513.42,824,4620.78
66050,1817,707,3,2022-08-04,ana anderson,ana.8857@hotmail.com,49,Madrid,2026-05-21,portable journal,Books,57.23,3714,171.69
78840,1157,356,3,2025-06-05,justin freeman,justin.8763@gmail.com,59,Bangalore,2025-04-26,compact tire gauge,Automotive,876.06,4616,2628.18
66668,242,950,8,2023-11-27,charles shah,charles.5180@yahoo.com,46,Unknown,2023-12-05,portable board game,Toys,882.37,4751,7058.96
21711,3028,805,5,2024-01-28,alexander stein,alexander.4703@hotmail.com,74,New York,2024-12-18,portable fertilizer bag,Garden,983.97,2246,4919.85
6847,6448,369,2,2026-01-28,bradley collins,bradley.8114@hotmail.com,70,Manchester,2026-05-20,basic cookware set,Home & Kitchen,915.65,3397,1831.3
3475,683,578,2,2026-05-14,matthew sweeney,matthew.3684@example.com,36,Chicago,2025-08-14,heavy duty cat litter,Pet Supplies,865.52,4265,1731.04
48192,6677,220,5,2022-02-07,robin hodge,robin.1520@hotmail.com,46,Hamburg,2023-12-03,heavy duty doll,Toys,204.5,3682,1022.5
26022,7620,47,1,2024-04-14,taylor martinez,taylor.8930@example.com,25,Cairo,2026-05-06,premium hoodie,Clothing,352.42,1030,352.42
9251,5855,923,6,2022-11-02,micheal wall,micheal.9095@example.com,42,Mumbai,2023-07-07,premium water bottle,Sports & Outdoors,284.56,4518,1707.3600000000001
83805,587,557,8,2022-08-06,christopher moore,christopher.9240@yahoo.com,54,Melbourne,2024-12-12,premium backpack,Sports & Outdoors,445.63,1150,3565.04
41633,8835,545,5,2023-12-13,john hart,john.1094@hotmail.com,71,Paris,2025-04-10,ultra microphone,Music,945.07,2570,4725.35
92910,6888,791,7,2023-10-26,michele armstrong,michele.1810@hotmail.com,79,Sao Paulo,2024-06-05,wireless hair dryer,Beauty,402.43,1837,2817.01
98958,6749,669,7,2023-12-21,cynthia stanley,cynthia.5217@yahoo.com,26,Mumbai,2024-08-11,lightweight vinyl record,Music,510.41,1012,3572.8700000000003
30829,4501,970,9,2025-02-14,tyler stout,tyler.9816@yahoo.com,51,Birmingham,2025-09-02,classic building blocks,Toys,805.63,3834,7250.67
69857,1091,450,1,2025-01-31,glenn collins dds,glenn.2904@example.com,29,Bangalore,2026-09-14,classic vinyl record,Music,716.12,2968,716.12
20116,3234,314,4,2023-03-25,teresa jones,teresa.7036@yahoo.com,40,London,2023-02-20,classic remote car,Toys,220.61,1414,882.44
6811,3839,400,6,2022-02-04,david holland,david.1354@hotmail.com,61,Bangalore,2023-08-22,eco-friendly air freshener,Automotive,995.29,1861,5971.74
97758,7280,494,6,2026-04-11,johnathan hall,johnathan.9577@yahoo.com,41,Birmingham,2026-09-06,basic bicycle helmet,Sports & Outdoors,412.0,3968,2472.0
66860,1558,838,4,2024-01-02,robert reynolds,robert.3167@yahoo.com,20,Munich,2024-11-13,premium action figure,Toys,441.25,1953,1765.0
6579,1251,262,5,2023-01-01,nathaniel stewart,nathaniel.4171@outlook.com,67,London,2024-11-07,classic tea box,Grocery,510.44,3780,2552.2
3396,3724,419,5,2023-06-06,jennifer hernandez,jennifer.7757@yahoo.com,28,Cairo,2025-01-22,basic cutting board,Home & Kitchen,199.51,4779,997.55
5603,7114,232,1,2024-03-24,brenda tapia,brenda.5868@gmail.com,46,New York,2023-06-19,stainless steel plant pot,Garden,685.8,4147,685.8
51809,6334,232,6,2026-05-12,andrew zavala,andrew.386@hotmail.com,49,Sydney,2026-03-24,stainless steel plant pot,Garden,685.8,4147,4114.799999999999
22338,7338,13,4,2023-01-12,tyrone conley,tyrone.5041@hotmail.com,67,Manchester,2023-09-24,smart face cream,Beauty,775.78,1882,3103.12
39263,5631,887,8,2026-02-17,sarah lopez,sarah.6645@outlook.com,54,Sao Paulo,2025-04-06,classic coffee table,Furniture,744.45,209,5955.6
16743,6059,312,3,2023-03-02,samuel page,samuel.3628@hotmail.com,74,Dubai,2025-04-21,pro chew toy,Pet Supplies,952.28,618,2856.84
93598,1692,33,4,2022-06-24,xavier torres,xavier.6567@example.com,44,London,2023-07-19,eco-friendly garden hose,Garden,839.67,3437,3358.68
67573,4332,872,7,2025-12-22,wayne ramirez,wayne.7359@yahoo.com,60,Delhi,2026-04-18,stainless steel chew toy,Pet Supplies,983.75,127,6886.25
52887,3901,276,1,2023-09-08,julia owens,julia.7071@outlook.com,66,Cairo,2025-05-08,compact pet bed,Pet Supplies,999.57,3756,999.57
20867,9672,585,5,2023-05-28,mrs. terry williams dvm,mrs..6881@hotmail.com,19,Hamburg,2025-11-21,stainless steel doll,Toys,503.6,3482,2518.0
49506,559,267,3,2023-01-20,david weber,david.6757@yahoo.com,71,Riyadh,2025-01-31,heavy duty face mask,Health,123.45,2652,370.35
55186,7862,938,10,2023-11-05,victoria williams,victoria.9020@example.com,46,Munich,2025-01-08,deluxe board game,Toys,415.34,2080,4153.4
65401,5921,892,1,2025-04-17,jason simpson,jason.1210@gmail.com,75,Riyadh,2024-06-12,deluxe webcam,Electronics,811.4,4757,811.4
69358,3355,324,7,2025-05-23,john davis,john.1323@hotmail.com,32,Alexandria,2026-02-03,pro knife set,Home & Kitchen,444.67,4574,3112.69
53567,5836,552,9,2023-01-11,jennifer johnson,jennifer.5665@example.com,64,Berlin,2022-11-03,heavy duty router,Electronics,222.22,4222,1999.98
60158,2454,728,3,2026-05-21,logan wilson,logan.9325@example.com,49,Chicago,2026-02-05,wireless stapler,Office Supplies,832.16,2754,2496.48
64691,1481,283,6,2026-01-10,lauren cunningham,lauren.4922@gmail.com,64,Sydney,2026-03-08,eco-friendly air freshener,Automotive,275.25,3952,1651.5
50115,9101,42,5,2023-03-11,bruce wilson,bruce.1415@gmail.com,18,Vancouver,2025-03-27,pro pen set,Office Supplies,497.91,1998,2489.55
88082,5380,359,7,2023-07-03,faith williams,faith.8786@yahoo.com,24,Riyadh,2025-02-26,stainless steel cookware set,Home & Kitchen,728.41,4526,5098.87
50190,5340,314,6,2023-03-31,jessica lawrence,jessica.2904@example.com,30,Tokyo,2025-03-11,classic remote car,Toys,220.61,1414,1323.66
58108,5405,101,8,2022-06-25,michelle sherman,michelle.1194@example.com,59,Singapore,2023-05-17,wireless garden hose,Garden,995.38,1190,7963.04
4758,6405,928,10,2026-05-25,christopher gray,christopher.3001@hotmail.com,44,Houston,2026-05-27,basic jacket,Clothing,892.82,3146,8928.2
30390,1758,593,9,2024-10-23,catherine smith,catherine.8641@gmail.com,39,Giza,2025-11-09,compact building blocks,Toys,330.56,4367,2975.04
87364,5495,63,2,2026-03-22,desiree powell,desiree.1360@outlook.com,39,Cairo,2023-10-22,basic desk organizer,Office Supplies,624.8,3667,1249.6
62976,8642,379,9,2024-11-02,kim francis,kim.2734@outlook.com,40,Chicago,2023-09-04,eco-friendly coffee maker,Home & Kitchen,661.72,4680,5955.4800000000005
68175,2174,834,6,2023-01-12,michael harris,michael.7130@outlook.com,70,Mumbai,2024-08-18,pro tea box,Grocery,496.33,1179,2977.98
91478,6716,122,8,2024-11-10,david jones,david.1393@example.com,56,Munich,2022-10-04,heavy duty lipstick,Beauty,103.41,4126,827.28
86269,8901,748,2,2025-12-17,unknown,sean.8632@outlook.com,45,Osaka,2026-03-22,eco-friendly power bank,Electronics,772.15,1906,1544.3
10207,7522,281,5,2022-10-29,amanda jones,amanda.6565@yahoo.com,76,Mexico City,2023-08-10,classic coffee maker,Home & Kitchen,314.42,588,1572.1000000000001
1731,1338,795,4,2025-06-03,marcia blanchard,marcia.1578@outlook.com,65,Toronto,2024-06-08,wireless board game,Toys,327.11,1913,1308.44
91315,4851,728,9,2022-04-12,kara gallegos,kara.6083@gmail.com,46,Berlin,2025-05-11,wireless stapler,Office Supplies,832.16,2754,7489.44
73024,4148,604,4,2022-11-30,charles hahn,charles.5799@example.com,56,Singapore,2024-01-18,premium pen set,Office Supplies,45.44,2554,181.76
97632,9433,359,6,2023-08-03,dr. leslie rogers md,dr..7559@yahoo.com,50,Unknown,2025-02-02,stainless steel cookware set,Home & Kitchen,728.41,4526,4370.46
78961,8440,916,9,2024-07-28,robert larson,robert.3637@hotmail.com,38,Giza,2024-05-12,basic webcam,Electronics,480.57,4676,4325.13
97703,8384,54,7,2023-06-30,carla moses,carla.7125@example.com,26,Cairo,2025-11-18,lightweight laptop stand,Electronics,772.39,2022,5406.73
20380,2144,587,1,2023-03-20,betty williams,betty.896@yahoo.com,34,Madrid,2024-12-22,smart toaster,Home & Kitchen,396.78,2752,396.78
91231,4379,717,8,2022-12-17,erica smith,erica.5342@outlook.com,26,Bangalore,2025-05-08,lightweight knife set,Home & Kitchen,826.78,1416,6614.24
